filename,text
female1_angry_11a_2.txt,I have not seen my tooth.
female1_angry_12b_1.txt,Work hard or you lose.
female1_angry_13b_2.txt,Jim saw the port.
female1_angry_1a_2.txt,Tom beats that farmer.
female1_angry_2b_1.txt,John laughs like your father.
female1_angry_3b_2.txt,The seed is buried in deep.
female1_angry_6a_2.txt,Jack views an art piece.
female1_angry_7b_1.txt,Carl leaps into a jeep.
female1_angry_8b_2.txt,Linda asks for more darts.
female1_anxious_11a_2.txt,Your results are unbelievable.
female1_anxious_12b_1.txt,We were away a year ago.
female1_anxious_13b_2.txt,How are you doing?
female1_anxious_1a_2.txt,Tom beats that farmer.
female1_anxious_2b_1.txt,John laughs like your father.
female1_anxious_3b_2.txt,The seed is buried in deep.
female1_anxious_6a_2.txt,Jack views an art piece.
female1_anxious_7b_1.txt,Carl leaps into a jeep.
female1_anxious_8b_2.txt,Linda asks for more darts.
female1_apologetic_11a_2.txt,Your results are unbelievable.
female1_apologetic_12b_1.txt,We were away a year ago.
female1_apologetic_13b_2.txt,How are you doing?
female1_apologetic_1a_2.txt,Tom beats that farmer.
female1_apologetic_2b_1.txt,John laughs like your father.
female1_apologetic_3b_2.txt,The seed is buried in deep.
female1_apologetic_6a_2.txt,Jack views an art piece.
female1_apologetic_7b_1.txt,Carl leaps into a jeep.
female1_apologetic_8b_2.txt,Linda asks for more darts.
female1_assertive_11a_2.txt,Your results are unbelievable.
female1_assertive_12b_1.txt,We were away a year ago.
female1_assertive_13b_2.txt,How are you doing?
female1_assertive_1a_2.txt,Tom beats that farmer.
female1_assertive_2b_1.txt,John laughs like your father.
female1_assertive_3b_2.txt,The seed is buried in deep.
female1_assertive_6a_2.txt,Jack views an art piece.
female1_assertive_7b_1.txt,Carl leaps into a jeep.
female1_assertive_8b_2.txt,Linda asks for more darts.
female1_concerned_11a_2.txt,Your results are unbelievable.
female1_concerned_12b_1.txt,We were away a year ago.
female1_concerned_13b_2.txt,How are you doing?
female1_concerned_1a_2.txt,Tom beats that farmer.
female1_concerned_2b_1.txt,John laughs like your father.
female1_concerned_3b_2.txt,The seed is buried in deep.
