"['﻿Column1', 'Column2', 'Column3']"
uoa_nz_mansfield_jh_0020,"She snarled, and swooping over she fastened her teeth in his glove.","She snarled, and swooping over she fastened her teeth in his glove."
uoa_nz_mansfield_jh_0040,And in a vacant chair beside him he placed a little black leather bag.,And in a vacant chair beside him he placed a little black leather bag.
uoa_nz_mansfield_jh_0060,In Austria even the cabmen have serviettes.,In Austria even the cabmen have serviettes.
uoa_nz_mansfield_jh_0080,He's only staying until tomorrow evening.,He's only staying until tomorrow evening.
uoa_nz_mansfield_jh_0100,"But it all seemed blurred, unreal, like a picture in the newspaper.","But it all seemed blurred, unreal, like a picture in the newspaper."
uoa_nz_mansfield_jh_0120,He flung his hat on to the huge bed and went towards her.,He flung his hat on to the huge bed and went towards her.
uoa_nz_mansfield_jh_0140,How could the poor darling help not having any money.,How could the poor darling help not having any money.
uoa_nz_mansfield_jh_0160,"But they are beautifully kept, said the sister of the Baroness shyly.","But they are beautifully kept, said the sister of the Baroness shyly."
uoa_nz_mansfield_jh_0180,"He tried to smile, to say I'm glad.","He tried to smile, to say I'm glad."
uoa_nz_mansfield_jh_0200,"Why, even a prostitute has a greater sense of generosity.","Why, even a prostitute has a greater sense of generosity."
uoa_nz_mansfield_jh_0220,This is my little English friend of whom I have spoken.,This is my little English friend of whom I have spoken.
uoa_nz_mansfield_jh_0240,I have not eaten meat for three years.,I have not eaten meat for three years.
uoa_nz_mansfield_jh_0260,There was a joyful flutter among the girls.,There was a joyful flutter among the girls.
uoa_nz_mansfield_jh_0280,How can you talk of cutting off now.,How can you talk of cutting off now.
uoa_nz_mansfield_jh_0300,What's given you such a colour.,What's given you such a colour.
uoa_nz_mansfield_jh_0320,"He was always full of new ideas, schemes, plans.","He was always full of new ideas, schemes, plans."
uoa_nz_mansfield_jh_0340,The little girls ran into the paddock like chickens let out of a coop.,The little girls ran into the paddock like chickens let out of a coop.
uoa_nz_mansfield_jh_0360,Drops of water fell from her hair on to the paper.,Drops of water fell from her hair on to the paper.
uoa_nz_mansfield_jh_0380,Such great big black trees on either side.,Such great big black trees on either side.
uoa_nz_mansfield_jh_0400,"Two dogs sprawled in the middle of the road, scuffling and biting.","Two dogs sprawled in the middle of the road, scuffling and biting."
uoa_nz_mansfield_jh_0420,And I do not see any possible light out of this darkness.,And I do not see any possible light out of this darkness.
uoa_nz_mansfield_jh_0440,"So young and yet to suffer so cruelly, she murmured.","So young and yet to suffer so cruelly, she murmured."
uoa_nz_mansfield_jh_0460,"But the child is dumb, ventured the manager apologetically.","But the child is dumb, ventured the manager apologetically."
uoa_nz_mansfield_jh_0480,"Nothing at all, cried Herr Hoffmann from Berlin.","Nothing at all, cried Herr Hoffmann from Berlin."
uoa_nz_mansfield_jh_0500,You might have seen a big fish flicking in at the window and gone again.,You might have seen a big fish flicking in at the window and gone again.
uoa_nz_mansfield_jh_0520,And now that little ancient fellow was climbing down endless flights.,And now that little ancient fellow was climbing down endless flights.
uoa_nz_mansfield_jh_0540,"I am making my own cure, and living entirely on raw vegetables and nuts.","I am making my own cure, and living entirely on raw vegetables and nuts."
uoa_nz_mansfield_jh_0560,He was the son of the butcher.,He was the son of the butcher.
uoa_nz_mansfield_jh_0580,I was much smaller than the average child in my class.,I was much smaller than the average child in my class.
uoa_nz_mansfield_jh_0600,The pink blossom touching the green leaves.,The pink blossom touching the green leaves.
uoa_nz_mansfield_jh_0620,I just walked past a dry eerie district.,I just walked past a dry eerie district.
uoa_nz_mansfield_sh_0019,"Some little sparrows, young sparrows they sounded, chirped on the window-ledge.","Some little sparrows, young sparrows they sounded, chirped on the window-ledge."
uoa_nz_mansfield_sh_0039,Stanley was half-way up the path before he saw Linda.,Stanley was half-way up the path before he saw Linda.
uoa_nz_mansfield_sh_0059,A young girl scratched a lullaby on a young fiddle.,A young girl scratched a lullaby on a young fiddle.
uoa_nz_mansfield_sh_0079,"Isabel, we're all going for a bathe.","Isabel, we're all going for a bathe."
uoa_nz_mansfield_sh_0099,But it was most unfortunate.,But it was most unfortunate.
uoa_nz_mansfield_sh_0119,Somehow or other he managed to shake some sort of smile at her.,Somehow or other he managed to shake some sort of smile at her.
uoa_nz_mansfield_sh_0139,Big twists and curls jostled and shouldered each other as the silvery beams broadened.,Big twists and curls jostled and shouldered each other as the silvery beams broadened.
uoa_nz_mansfield_sh_0159,Four of the clock one July afternoon she appeared at the Pension Muller.,Four of the clock one July afternoon she appeared at the Pension Muller.
uoa_nz_mansfield_sh_0179,"How wrong, how wicked, feeling as I do.","How wrong, how wicked, feeling as I do."
uoa_nz_mansfield_sh_0199,Then something immense came into view.,Then something immense came into view.
uoa_nz_mansfield_sh_0219,Such a brilliant way of putting things.,Such a brilliant way of putting things.
uoa_nz_mansfield_sh_0239,Who ever heard of having children upon vegetables.,Who ever heard of having children upon vegetables.
uoa_nz_mansfield_sh_0259,Meg passed him on to Leila.,Meg passed him on to Leila.
uoa_nz_mansfield_sh_0279,"Oh well, there seems nowhere else, said she.","Oh well, there seems nowhere else, said she."
uoa_nz_mansfield_sh_0299,"Mrs. Sheridan got up and came over to her, carrying the hat.","Mrs. Sheridan got up and came over to her, carrying the hat."
