ID,file_path,words
622,./training/Mansfield_train/uoa_nz_mansfield_jh_0001.wav,Each guest who came into the breakfast-room was bombarded with the wonderful news.
623,./training/Mansfield_train/uoa_nz_mansfield_jh_0002.wav,"The gentlemen wore black coats, white silk ties and ferny buttonholes tickling the chin."
624,./training/Mansfield_train/uoa_nz_mansfield_jh_0003.wav,"Myself, I felt disappointed that there was not a salute of twenty-five guns."
625,./training/Mansfield_train/uoa_nz_mansfield_jh_0005.wav,I suppose the searching after Fraulein Schafer doesn't occupy all your days.
626,./training/Mansfield_train/uoa_nz_mansfield_jh_0006.wav,Nine verses equally lovely commanded her to equally violent action.
627,./training/Mansfield_train/uoa_nz_mansfield_jh_0007.wav,"Warm the teapot, interrupted the Herr Rat, pushing away his soup plate."
628,./training/Mansfield_train/uoa_nz_mansfield_jh_0009.wav,But a dumb niece with unwashed ears struck me as a most depressing object.
629,./training/Mansfield_train/uoa_nz_mansfield_jh_0010.wav,Living with her I live with the coffin of my unborn aspirations.
630,./training/Mansfield_train/uoa_nz_mansfield_jh_0011.wav,"Cheer up, old woman, shouted her husband, digging her in the ribs."
631,./training/Mansfield_train/uoa_nz_mansfield_jh_0013.wav,By this time he had walked the length of fashionable Harcourt Avenue.
632,./training/Mansfield_train/uoa_nz_mansfield_jh_0014.wav,"They all looked at me, shaking their heads, their mouths full of cherry stones."
633,./training/Mansfield_train/uoa_nz_mansfield_jh_0015.wav,You're rotten to the core and so am I. But you're heathenishly beautiful.
634,./training/Mansfield_train/uoa_nz_mansfield_jh_0017.wav,"There were even rich buds unfolding, and the leaves shone like oil."
635,./training/Mansfield_train/uoa_nz_mansfield_jh_0018.wav,"He measured a good washstand pitcher in height, and I smiled."
636,./training/Mansfield_train/uoa_nz_mansfield_jh_0019.wav,"Some little sparrows, young sparrows they sounded, chirped on the window-ledge."
637,./training/Mansfield_train/uoa_nz_mansfield_jh_0021.wav,But she has no right to let her daughters wear such short sailor suits.
638,./training/Mansfield_train/uoa_nz_mansfield_jh_0022.wav,A great bush of purple lilac grew behind the summer-house.
639,./training/Mansfield_train/uoa_nz_mansfield_jh_0023.wav,We gorged on scandals of High Birth generously buttered.
640,./training/Mansfield_train/uoa_nz_mansfield_jh_0025.wav,"All the ladies eat, too, especially the ladies."
641,./training/Mansfield_train/uoa_nz_mansfield_jh_0026.wav,Every Sunday morning Ethel would read aloud while Ma Parker did her washing.
642,./training/Mansfield_train/uoa_nz_mansfield_jh_0027.wav,Heaven knows what infectious disease may be breeding now in that boot.
643,./training/Mansfield_train/uoa_nz_mansfield_jh_0029.wav,Even for the most jaded of us life holds its thrilling moments.
644,./training/Mansfield_train/uoa_nz_mansfield_jh_0030.wav,"The piles of dirty cups, dirty dishes, were washed and dried."
645,./training/Mansfield_train/uoa_nz_mansfield_jh_0031.wav,Why did the photographs of dead people always fade so.
646,./training/Mansfield_train/uoa_nz_mansfield_jh_0033.wav,The poet from Munich never took his eyes off the pair.
647,./training/Mansfield_train/uoa_nz_mansfield_jh_0034.wav,"But I was exceedingly nice, a trifle diffident, appropriately reverential."
648,./training/Mansfield_train/uoa_nz_mansfield_jh_0035.wav,A nice shake-up in the bus never improved his appetite.
649,./training/Mansfield_train/uoa_nz_mansfield_jh_0037.wav,He wore a very shabby dressing-gown and carried a crumpled newspaper in one hand.
650,./training/Mansfield_train/uoa_nz_mansfield_jh_0038.wav,"She said, horrified, however are we going to stop everything."
651,./training/Mansfield_train/uoa_nz_mansfield_jh_0039.wav,Stanley was half-way up the path before he saw Linda.
652,./training/Mansfield_train/uoa_nz_mansfield_jh_0041.wav,"All the Exhibitions, all the Art and Soul life of Germany are in Munchen."
653,./training/Mansfield_train/uoa_nz_mansfield_jh_0042.wav,"The servant brought in veal, with sauerkraut and potatoes."
654,./training/Mansfield_train/uoa_nz_mansfield_jh_0043.wav,He put his face into her bosom and his arms enfolded her.
655,./training/Mansfield_train/uoa_nz_mansfield_jh_0045.wav,"The Professor drew in his feet and sat up sharply, pulling down his waistcoat."
656,./training/Mansfield_train/uoa_nz_mansfield_jh_0046.wav,She came to my bedroom and offered to massage my arm.
657,./training/Mansfield_train/uoa_nz_mansfield_jh_0047.wav,"Now, there is something peculiarly intimate in sharing an umbrella."
658,./training/Mansfield_train/uoa_nz_mansfield_jh_0049.wav,"And just look at this nougat, he cried ecstatically, just look at it."
659,./training/Mansfield_train/uoa_nz_mansfield_jh_0050.wav,"Joce, the butterfly, always came down in a silk petticoat and a kimono jacket."
660,./training/Mansfield_train/uoa_nz_mansfield_jh_0051.wav,He looked as though he could order a magnificent dinner.
661,./training/Mansfield_train/uoa_nz_mansfield_jh_0053.wav,They wiped their forks upon black bread and started again.
662,./training/Mansfield_train/uoa_nz_mansfield_jh_0054.wav,To her relief grandma seemed no longer sad.
663,./training/Mansfield_train/uoa_nz_mansfield_jh_0055.wav,On his lap there lay a beautiful pale yellow silk handkerchief.
664,./training/Mansfield_train/uoa_nz_mansfield_jh_0057.wav,He looked down at the row of garden strips and backyards.
665,./training/Mansfield_train/uoa_nz_mansfield_jh_0058.wav,"He also forsook work, and stood by the window, picking his nose."
666,./training/Mansfield_train/uoa_nz_mansfield_jh_0059.wav,A young girl scratched a lullaby on a young fiddle.
667,./training/Mansfield_train/uoa_nz_mansfield_jh_0061.wav,She dipped a piece of sugar in her coffee and watched it dissolve.
668,./training/Mansfield_train/uoa_nz_mansfield_jh_0062.wav,That made the student from Bonn sit up.
669,./training/Mansfield_train/uoa_nz_mansfield_jh_0063.wav,"I order double portions, and eat them in peace."
670,./training/Mansfield_train/uoa_nz_mansfield_jh_0065.wav,From the hollow class-rooms came a quick drumming of voices.
671,./training/Mansfield_train/uoa_nz_mansfield_jh_0066.wav,She had meant to have fish mayonnaise for lunch and now.
672,./training/Mansfield_train/uoa_nz_mansfield_jh_0067.wav,But she'd never heard his name until she saw it on the theatres.
673,./training/Mansfield_train/uoa_nz_mansfield_jh_0069.wav,"I think he's a little gone here, tapping her forehead."
674,./training/Mansfield_train/uoa_nz_mansfield_jh_0070.wav,"Sometimes I think the solution lies in marriage, said Fraulein Sonia."
675,./training/Mansfield_train/uoa_nz_mansfield_jh_0071.wav,And the carpet we made ourselves out of old clothes.
676,./training/Mansfield_train/uoa_nz_mansfield_jh_0073.wav,"I suppose you are frightened of an invasion, too, eh."
677,./training/Mansfield_train/uoa_nz_mansfield_jh_0074.wav,I must be back in London in September.
678,./training/Mansfield_train/uoa_nz_mansfield_jh_0075.wav,"The dishes were changed for beef, red currants and spinach."
679,./training/Mansfield_train/uoa_nz_mansfield_jh_0077.wav,I've left them at the hotel for you to digest later on.
